"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2017",914.34,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2018",977.156,
"BEL","HEALTHEXP","OOPEXP","USD_CAP","A","2019",991.835,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2017",425.511,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2018",450.464,
"CZE","HEALTHEXP","OOPEXP","USD_CAP","A","2019",483.575,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2017",698.364,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2018",731.832,
"DNK","HEALTHEXP","OOPEXP","USD_CAP","A","2019",776.13,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",802.847,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2018",804.333,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2019",795.417,
"FIN","HEALTHEXP","OOPEXP","USD_CAP","A","2020",795.924,"P"
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2017",478.806,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2018",478.518,
"FRA","HEALTHEXP","OOPEXP","USD_CAP","A","2019",488.453,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2017",753.604,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2018",799.684,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2019",827.554,
"DEU","HEALTHEXP","OOPEXP","USD_CAP","A","2020",828.379,"P"
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2017",787.688,
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2018",842.439,
"GRC","HEALTHEXP","OOPEXP","USD_CAP","A","2019",815.742,
"HUN","HEALTHEXP","OOPEXP","USD_CAP","A","2017",547.436,
