"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","ROADACCID","DEATH","1000000HAB","A","2017",58.691744251563,
"LUX","ROADACCID","DEATH","1000000HAB","A","2018",59.215396002961,
"LTU","ROADACCID","DEATH","1000000HAB","A","2017",67.529273586543,
"LTU","ROADACCID","DEATH","1000000HAB","A","2018",61.751684696612,
"LTU","ROADACCID","DEATH","1000000HAB","A","2019",66.567959981919,
"LTU","ROADACCID","DEATH","1000000HAB","A","2020",62.976348087451,
"LVA","ROADACCID","DEATH","1000000HAB","A","2017",70.02195394203,
"LVA","ROADACCID","DEATH","1000000HAB","A","2018",78.353070350679,
"LVA","ROADACCID","DEATH","1000000HAB","A","2019",70.53947545801,
"LVA","ROADACCID","DEATH","1000000HAB","A","2020",74.150113486486,
"ITA","ROADACCID","DEATH","1000000HAB","A","2017",55.800852999789,
"ITA","ROADACCID","DEATH","1000000HAB","A","2018",55.029843553051,
"ITA","ROADACCID","DEATH","1000000HAB","A","2019",53.123201410047,
"ITA","ROADACCID","DEATH","1000000HAB","A","2020",40.215587114912,
"FRA","ROADACCID","DEATH","1000000HAB","A","2017",51.52573253064,
"FRA","ROADACCID","DEATH","1000000HAB","A","2018",48.403972881257,
"FRA","ROADACCID","DEATH","1000000HAB","A","2019",48.238688600023,
"FRA","ROADACCID","DEATH","1000000HAB","A","2020",37.705005945698,
"POL","ROADACCID","DEATH","1000000HAB","A","2017",74.549387007066,
"POL","ROADACCID","DEATH","1000000HAB","A","2018",75.365868109731,
"POL","ROADACCID","DEATH","1000000HAB","A","2019",76.622246923027,
"POL","ROADACCID","DEATH","1000000HAB","A","2020",65.637611558248,
"HRV","ROADACCID","DEATH","1000000HAB","A","2017",80.251548600314,
"HRV","ROADACCID","DEATH","1000000HAB","A","2018",77.547009510884,
"HRV","ROADACCID","DEATH","1000000HAB","A","2019",73.058183586606,
"HRV","ROADACCID","DEATH","1000000HAB","A","2020",58.559003755683,
"SWE","ROADACCID","DEATH","1000000HAB","A","2017",25.05543515027,
"SWE","ROADACCID","DEATH","1000000HAB","A","2018",31.842082141958,
"SWE","ROADACCID","DEATH","1000000HAB","A","2019",21.500382288472,
"SWE","ROADACCID","DEATH","1000000HAB","A","2020",19.703592293268,
"MLT","ROADACCID","DEATH","1000000HAB","A","2017",40.59837734696,
"SVN","ROADACCID","DEATH","1000000HAB","A","2017",50.329366992065,
"SVN","ROADACCID","DEATH","1000000HAB","A","2018",43.878809620935,
"SVN","ROADACCID","DEATH","1000000HAB","A","2019",48.841568963577,
"SVN","ROADACCID","DEATH","1000000HAB","A","2020",38.092952518087,
"FIN","ROADACCID","DEATH","1000000HAB","A","2017",43.208197793332,
"FIN","ROADACCID","DEATH","1000000HAB","A","2018",43.332230386047,
"FIN","ROADACCID","DEATH","1000000HAB","A","2019",38.213519762185,
"FIN","ROADACCID","DEATH","1000000HAB","A","2020",40.139446607213,"P"
"IRL","ROADACCID","DEATH","1000000HAB","A","2017",32.242040792214,
"IRL","ROADACCID","DEATH","1000000HAB","A","2018",28.55783351646,"P"
"IRL","ROADACCID","DEATH","1000000HAB","A","2019",28.372588836602,"P"
"BEL","ROADACCID","DEATH","1000000HAB","A","2017",53.537717893677,
"BEL","ROADACCID","DEATH","1000000HAB","A","2018",52.857018090577,
"BEL","ROADACCID","DEATH","1000000HAB","A","2019",56.053714080797,
"BEL","ROADACCID","DEATH","1000000HAB","A","2020",43.18104270882,
"BGR","ROADACCID","DEATH","1000000HAB","A","2017",96.382858718416,
"BGR","ROADACCID","DEATH","1000000HAB","A","2018",86.974630880948,
"BGR","ROADACCID","DEATH","1000000HAB","A","2019",90.026020100173,
"BGR","ROADACCID","DEATH","1000000HAB","A","2020",66.837122983771,
"DEU","ROADACCID","DEATH","1000000HAB","A","2017",38.472239774678,
"DEU","ROADACCID","DEATH","1000000HAB","A","2018",39.502673046374,
"DEU","ROADACCID","DEATH","1000000HAB","A","2019",36.657737631257,
"DEU","ROADACCID","DEATH","1000000HAB","A","2020",32.664378318133,
"HUN","ROADACCID","DEATH","1000000HAB","A","2017",63.853920211819,
"HUN","ROADACCID","DEATH","1000000HAB","A","2018",64.753297098766,
"HUN","ROADACCID","DEATH","1000000HAB","A","2019",61.610000306003,
"HUN","ROADACCID","DEATH","1000000HAB","A","2020",47.180634031822,
"EST","ROADACCID","DEATH","1000000HAB","A","2017",36.435845584886,
"EST","ROADACCID","DEATH","1000000HAB","A","2018",50.681668440525,
"EST","ROADACCID","DEATH","1000000HAB","A","2019",39.189146415173,
"EST","ROADACCID","DEATH","1000000HAB","A","2020",45.076957635924,
"SVK","ROADACCID","DEATH","1000000HAB","A","2017",50.742457758742,
"SVK","ROADACCID","DEATH","1000000HAB","A","2018",47.734703735479,
"SVK","ROADACCID","DEATH","1000000HAB","A","2019",49.503616239166,
"SVK","ROADACCID","DEATH","1000000HAB","A","2020",45.247816060117,
"DNK","ROADACCID","DEATH","1000000HAB","A","2017",30.355699412661,
"DNK","ROADACCID","DEATH","1000000HAB","A","2018",29.515143857847,
"DNK","ROADACCID","DEATH","1000000HAB","A","2019",34.225241993099,
"AUT","ROADACCID","DEATH","1000000HAB","A","2017",47.058470490588,
"AUT","ROADACCID","DEATH","1000000HAB","A","2018",46.2642416663,
"AUT","ROADACCID","DEATH","1000000HAB","A","2019",46.847268894314,
"AUT","ROADACCID","DEATH","1000000HAB","A","2020",38.577110204375,
"PRT","ROADACCID","DEATH","1000000HAB","A","2017",58.444899663117,
"PRT","ROADACCID","DEATH","1000000HAB","A","2018",65.637075398621,
"PRT","ROADACCID","DEATH","1000000HAB","A","2019",60.857864513089,
"ROU","ROADACCID","DEATH","1000000HAB","A","2017",99.598161492472,
"ROU","ROADACCID","DEATH","1000000HAB","A","2018",95.871565992964,
"ROU","ROADACCID","DEATH","1000000HAB","A","2019",96.223098829795,
"GRC","ROADACCID","DEATH","1000000HAB","A","2017",67.970415481485,
"GRC","ROADACCID","DEATH","1000000HAB","A","2018",65.220133790719,
"GRC","ROADACCID","DEATH","1000000HAB","A","2019",64.16963466772,
"GRC","ROADACCID","DEATH","1000000HAB","A","2020",54.593563054959,"P"
"CZE","ROADACCID","DEATH","1000000HAB","A","2017",54.462539683558,
"CZE","ROADACCID","DEATH","1000000HAB","A","2018",61.712553462262,
"CZE","ROADACCID","DEATH","1000000HAB","A","2019",57.909251143427,
"CZE","ROADACCID","DEATH","1000000HAB","A","2020",48.416210420215,
"ESP","ROADACCID","DEATH","1000000HAB","A","2017",39.27608719858,
"ESP","ROADACCID","DEATH","1000000HAB","A","2018",38.591595656492,
"ESP","ROADACCID","DEATH","1000000HAB","A","2019",37.23464665413,
"NLD","ROADACCID","DEATH","1000000HAB","A","2017",35.782465027748,
"NLD","ROADACCID","DEATH","1000000HAB","A","2018",39.346262430053,
"NLD","ROADACCID","DEATH","1000000HAB","A","2019",38.109241958172,
"NLD","ROADACCID","DEATH","1000000HAB","A","2020",34.974780030135,
